City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
187,Clemmons,US,36.0215,-80.382,27.88,43,19,5.01,few clouds
188,Port Hawkesbury,CA,45.6169,-61.3485,36.99,83,75,18.99,broken clouds
189,Kanigoro,ID,-8.13,112.219,73.06,96,100,8.21,moderate rain
190,Cocorit,MX,27.5833,-109.9667,70.02,23,7,2.15,clear sky
191,Katsuura,JP,35.1333,140.3,41.02,59,1,33.53,clear sky
192,Hofn,IS,64.2539,-15.2082,20.61,59,35,11.88,scattered clouds
193,Dawei,MM,14.0833,98.2,71.87,79,5,3.38,clear sky
194,Alghero,IT,40.5589,8.3181,62.69,82,0,5.75,clear sky
195,Hasaki,JP,35.7333,140.8333,34.2,47,0,26.28,clear sky
196,Sorland,NO,67.667,12.6934,33.66,57,100,24.81,overcast clouds
197,Ulladulla,AU,-35.35,150.4667,61.61,79,35,3.89,scattered clouds
198,Yulara,AU,-25.2406,130.9889,71.35,72,11,5.46,few clouds
199,Rosarito,MX,32.3333,-117.0333,59.67,46,0,2.13,clear sky
200,Coahuayana,MX,18.7333,-103.6833,83.07,50,81,2.77,broken clouds
201,Grindavik,IS,63.8424,-22.4338,19.87,79,75,5.75,broken clouds
202,Vanavara,RU,60.34,102.2797,-24.38,100,78,3.74,broken clouds
203,Nemuro,JP,43.3236,145.575,33.33,93,100,8.48,snow
204,Balangiga,PH,11.1097,125.3875,76.96,91,83,5.73,light rain
205,Walvis Bay,NA,-22.9575,14.5053,76.15,57,20,17.27,dust
206,Praia Da Vitoria,PT,38.7333,-27.0667,62.85,59,40,18.59,scattered clouds
207,Dikson,RU,73.5069,80.5464,-4.18,86,100,27.74,overcast clouds
208,Port-Gentil,GA,-0.7193,8.7815,84.16,74,40,9.22,scattered clouds
209,Butembo,CD,0.15,29.2833,58.68,97,96,2.3,overcast clouds
210,Ilulissat,GL,69.2167,-51.1,-12.6,75,0,5.39,clear sky
211,Kawalu,ID,-7.3817,108.2082,72.28,92,100,2.57,overcast clouds
212,Yenagoa,NG,4.9247,6.2642,87.37,38,7,5.5,clear sky
213,Humaita,BR,-7.5061,-63.0208,93.07,46,91,3.74,overcast clouds
214,Ostrovnoy,RU,68.0531,39.5131,23.23,89,99,17.9,light snow
215,Cabedelo,BR,-6.9811,-34.8339,88.47,64,16,11.52,few clouds
216,Kaupanger,NO,61.1845,7.2404,27.09,93,75,0.0,broken clouds
217,Evanston,US,42.0411,-87.6901,-2.4,71,100,8.01,overcast clouds
218,Havoysund,NO,70.9963,24.6622,25.03,87,100,1.43,light snow
219,Gagret,IN,31.6667,76.0667,48.0,48,0,3.2,clear sky
220,Saldanha,ZA,-33.0117,17.9442,71.65,88,96,9.1,overcast clouds
221,North Bend,US,43.4065,-124.2243,54.16,99,100,17.56,overcast clouds
222,Torbay,CA,47.6666,-52.7314,31.57,81,75,11.5,broken clouds
223,Port Augusta,AU,-32.5,137.7667,67.06,68,0,10.89,clear sky
224,Geraldton,AU,-28.7667,114.6,68.41,83,0,5.75,clear sky
225,Rexburg,US,43.826,-111.7897,9.0,59,100,2.13,overcast clouds
226,Byron Bay,AU,-28.65,153.6167,69.94,81,100,8.14,overcast clouds
227,Niamey,NE,13.5137,2.1098,82.69,11,0,17.27,clear sky
228,Bud,US,39.447,-86.1758,-2.54,80,100,23.04,overcast clouds
229,Puerto Del Rosario,ES,28.5004,-13.8627,71.35,68,0,4.61,clear sky
230,Kahului,US,20.8947,-156.47,69.84,83,29,4.0,scattered clouds
231,Arinos,BR,-15.9169,-46.1056,83.12,61,73,2.39,moderate rain
232,Porbandar,IN,21.6422,69.6093,68.83,43,0,11.07,clear sky
233,East London,ZA,-33.0153,27.9116,68.94,94,100,19.57,moderate rain
