City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
375,Tuktoyaktuk,CA,2022-12-20 21:42:45,69.4541,-133.0374,-9.4,77,75,8.05
376,Volax,GR,2022-12-20 21:42:45,41.3167,24.0,30.02,54,22,2.77
377,Cherskiy,RU,2022-12-20 21:42:46,68.75,161.3,21.02,67,79,8.1
378,Maloy,NO,2022-12-20 21:42:47,61.9353,5.1136,43.74,61,51,16.6
379,Barrow,US,2022-12-20 21:42:48,71.2906,-156.7887,-2.18,78,20,11.5
380,Imeni Babushkina,RU,2022-12-20 21:42:48,59.7573,43.1285,-0.63,100,100,2.51
381,Albany,US,2022-12-20 21:40:05,42.6001,-73.9662,29.05,76,45,5.17
382,Mataura,NZ,2022-12-20 21:42:49,-46.1927,168.8643,55.06,67,100,5.21
383,Dikson,RU,2022-12-20 21:42:50,73.5069,80.5464,-1.19,96,100,7.96
384,Busselton,AU,2022-12-20 21:38:47,-33.65,115.3333,58.95,82,14,12.28
385,Yar-Sale,RU,2022-12-20 21:42:51,66.8333,70.8333,-17.09,95,100,14.47
386,Hermanus,ZA,2022-12-20 21:40:03,-34.4187,19.2345,62.8,69,5,14.32
387,Cabo San Lucas,MX,2022-12-20 21:42:51,22.8909,-109.9124,82.62,60,40,11.5
388,Hithadhoo,MV,2022-12-20 21:40:09,-0.6,73.0833,80.67,71,100,13.11
389,Rikitea,PF,2022-12-20 21:38:49,-23.1203,-134.9692,76.68,87,47,19.35
390,Leh,IN,2022-12-20 21:42:53,34.1667,77.5833,9.3,55,1,0.07
391,Canutama,BR,2022-12-20 21:42:53,-6.5339,-64.3831,79.68,80,68,1.7
392,Kapaa,US,2022-12-20 21:34:37,22.0752,-159.319,80.92,56,100,11.5
393,Bluff,NZ,2022-12-20 21:38:53,-46.6,168.3333,53.17,70,100,12.35
394,Gazanjyk,TM,2022-12-20 21:42:54,39.2446,55.5154,36.9,74,100,5.7
395,Richards Bay,ZA,2022-12-20 21:40:12,-28.783,32.0377,67.01,93,100,10.83
396,Barrow,US,2022-12-20 21:42:48,71.2906,-156.7887,-2.18,78,20,11.5
397,Varhaug,NO,2022-12-20 21:42:56,58.6147,5.6457,44.85,90,99,16.17
398,Cockburn Town,TC,2022-12-20 21:42:57,21.4612,-71.1419,78.85,73,1,13.04
399,Rikitea,PF,2022-12-20 21:38:49,-23.1203,-134.9692,76.68,87,47,19.35
400,Deyang,CN,2022-12-20 21:42:57,31.1302,104.382,39.85,52,0,0.56
401,San Pedro,PH,2022-12-20 21:42:58,14.35,121.0167,76.23,92,100,3.44
402,Busselton,AU,2022-12-20 21:38:47,-33.65,115.3333,58.95,82,14,12.28
403,Ponta Do Sol,PT,2022-12-20 21:42:59,32.6667,-17.1,69.71,86,69,1.32
404,Bago,MM,2022-12-20 21:42:59,17.3367,96.4797,71.04,77,10,0.96
405,Lavrentiya,RU,2022-12-20 21:40:06,65.5833,-171.0,14.11,75,1,9.46
406,Rajanpur,PK,2022-12-20 21:43:00,29.1035,70.325,58.87,29,0,4.56
407,Port Alfred,ZA,2022-12-20 21:38:49,-33.5906,26.891,61.18,91,63,1.99
408,Atuona,PF,2022-12-20 21:43:01,-9.8,-139.0333,78.57,81,23,19.89
409,Srednekolymsk,RU,2022-12-20 21:43:02,67.45,153.6833,-9.51,99,73,1.61
410,Ibra,OM,2022-12-20 21:43:03,22.6906,58.5334,66.38,62,71,4.29
411,Norman Wells,CA,2022-12-20 21:41:27,65.282,-126.8329,-38.16,67,40,0.0
412,Jamestown,US,2022-12-20 21:37:15,42.097,-79.2353,32.02,55,75,3.0
