,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
324,Bubaque,GW,81.14,scattered clouds,11.2833,-15.8333,Chez Julio
330,Sal Rei,CV,80.8,clear sky,16.1833,-22.9167,Hotel Marine Club
331,Alta Floresta,BR,80.85,overcast clouds,-9.8756,-56.0861,Villas Hotel
332,Akyab,MM,70.38,overcast clouds,20.15,92.9,Yuzana Aung Motel 1
334,Luganville,VU,80.06,few clouds,-15.5333,167.1667,Beachfront Resort
340,Looc,PH,77.11,overcast clouds,12.2605,121.9926,Angelique hotel
344,Bengkulu,ID,75.72,overcast clouds,-3.8004,102.2655,Dena Hotel
346,Ilhabela,BR,75.2,broken clouds,-23.7781,-45.3581,Vila Kebaya
349,Catuday,PH,75.33,overcast clouds,16.2923,119.8062,Nina Anchors Inn
352,Aden,YE,78.33,scattered clouds,12.7794,45.0367,فندق قصر الجزيرة
353,Chuy,UY,80.29,light rain,-33.6971,-53.4616,Alerces
355,Miramar,US,81.01,clear sky,25.9873,-80.2323,El Palacio Sports Hotel
368,Dwarka,IN,71.46,clear sky,22.2394,68.9678,The Dwarika Hotel
369,Acajutla,SV,84.74,clear sky,13.5928,-89.8275,Hotel Lara
372,Cabo San Lucas,MX,75.51,clear sky,22.8909,-109.9124,Comfort Rooms
380,Bathsheba,BB,80.01,light rain,13.2167,-59.5167,Atlantis Hotel
401,Inhambane,MZ,76.98,few clouds,-23.865,35.3833,Hotel de Inhambane
402,Mogadishu,SO,78.42,broken clouds,2.0371,45.3438,SYL Hotel
403,Namatanai,PG,79.3,broken clouds,-3.6667,152.4333,Namatanai Hotel
406,Impfondo,CG,78.48,broken clouds,1.6381,18.0667,Tropicana
408,Tabou,CI,82.8,clear sky,4.423,-7.3528,hôtel le rochet
410,San Nicolas,PH,71.02,overcast clouds,18.1725,120.5953,Mira de Polaris Hotel
411,Piacabucu,BR,84.31,overcast clouds,-10.4056,-36.4344,O Leão
413,Port Moresby,PG,77.5,broken clouds,-9.4431,147.1797,The Sanctuary Hotel and Spa
414,Omboue,GA,79.09,scattered clouds,-1.5746,9.2618,Georges Faustin Aurat
419,Berbera,SO,77.74,few clouds,10.4396,45.0143,Al Madina Hotel
420,Los Andes,CL,81.01,clear sky,-32.8337,-70.5983,Hotel Gloria
423,Vao,NC,78.62,scattered clouds,-22.6667,167.4833,Nataiwatch
426,Paracatu,BR,81.01,light rain,-17.2222,-46.8747,Hotel Presidente
427,Sao Felix Do Xingu,BR,77.88,overcast clouds,-6.6447,-51.995,Hotel Terraço
443,Honiara,SB,77.86,light rain,-9.4333,159.95,King Solomon Hotel
444,Araquari,BR,77.4,broken clouds,-26.3703,-48.7211,Hotel Zanella Jasper
449,Paita,PE,75.99,overcast clouds,-5.0892,-81.1144,Victor's
451,Weligama,LK,75.9,few clouds,5.9667,80.4167,Basecamp
464,Banda Aceh,ID,77.88,few clouds,5.5577,95.3222,Hotel 61
465,Maragogi,BR,84.38,broken clouds,-9.0122,-35.2225,Pousada Mariluz
466,Vila Velha,BR,75.15,overcast clouds,-20.3297,-40.2925,Hotel Prainha
